id;produkt;kcal;bialko;weglowodany;tluszcze
268;Kotlet Schabowy Panierowany;318;15;11.5;25
269;Cykoria;17;0.9;4;0.1
270;Nasiona Chia - szalwia hiszpanska (suszone);490;15.6;43.8;30.8
271;Majeranek suszony;271;12.7;60.6;7
272;Chleb tostowy pelnoziarnisty - Kaufland;271;9.9;46;4.5
273;Maslanka 1.5%;50;3.4;4.9;1.5
274;Bulka wieloziarnista - Lidl;199;9;29;5
275;Bulion;12;2;1.2;0.1
276;Jogurt naturalny - Piatnica;58;4;5.9;2
277;Imbir (korzen);80;1.8;17.8;0.8
278;Maslo orzechowe z orzeszkow ziemnych;609;26;16;49
279;Twarog poltlusty - Delikate;116;16;4;4
280;Kalafior (ugotowany);19;1.8;3.7;0.1
281;Musli tropikalne - Axa;370;8.9;64;6.8
282;Tunczyk w wodzie (konserwowany);106;24;0;1
283;Jogurt naturalny gesty - Bakoma;60;3.6;5.2;2.8
284;Maka zytnia;349;10.9;75.4;1.5
285;Chleb baltonowski;248;5.4;52;1.9
286;Ciecierzyca (konserwowa);128;6.1;18.5;3
287;Wafle ryzowe;374;8;81;2.9
288;Ryz Basmati (ugotowany);115;3;25;0.4
289;Bulka razowa;290;10;50;5
290;Papryka zielona;22;0.9;4.6;0.2
291;Zupa pomidorowa;37;3.6;2.7;2.1
292;Kotlet mielony (smazony);254;18.6;6.4;17.9
293;Pesto zielone - Sottile Gusto;401;4.7;7.6;38.6
294;Pomidory suszone;258;14.1;55.8;3
295;Szynka drobiowa;123;18.2;0;5.6
296;Coca Cola;42;0.1;10.6;0
297;Siemie lniane;534;18.3;28.9;42.2
298;Serek wiejski lekki;81;11;2.4;3
299;Sok marchwiowy jednodniowy;37;0.4;8.7;0.1
300;Makaron pelnoziarnisty Spaghetti (nieugotowany) - Lubella;340;15;58;3.2
301;Orzechy laskowe;666;15;16.7;60.8
302;Mieta - liscie;44;3.3;8.4;0.7
303;Mix Salat;16;1.2;1.4;0.1
304;Maka ziemniaczana;357;6.9;83.1;0.3
305;Maslo (pozostale);679;0.5;0.6;75
306;Orzechy brazylijskie;659;14.3;11.7;67.1
307;Nasiona siemienia lnianego;513;19.8;10;41.9
308;Platki kukurydziane Corn Flakes - Nestle;365;6.6;87.1;0.6
309;Kawa rozpuszczalna z mlekiem i cukrem;36;0.6;7.9;0
310;Piwo;43;0.5;3.6;0
311;Imbir mielony;347;9.1;65;6
312;Cebula (smazona);132;1;7.9;10.8
313;Mleko kokosowe;185;1.6;2;19
314;Ziemniaki mlode (gotowane);71;1.8;16.3;0.1
315;Schab (pieczony);146;21;3;5.5
316;Warzywa na patelnie z przyprawa orientalna - Hortex;37;2.4;4.7;0.5
317;Jogurt naturalny - Biedronka;60;4.5;6;2
318;Kawa rozpuszczlana + 50 ml mleka;10;0.7;1;0.3
319;Brokuly gotowane;23;2.2;3.8;0.3
320;Twarozek Domowy Grani naturalny - Piatnica;90;11;2.4;4
321;Kakao 16% tluszczu (proszek);360;3;75;15.8
322;Twarog naturalny chudy - Pilos;83;17;3.8;0
323;Szynka z piersi kurczaka;85;16.2;1.5;1.6
324;Makaron pelnoziarnisty Penne - Lubella (nieugotowany);351;13;70;1.4
325;Ser plesniowy Bleu - Lazur;370;19;1.4;32
326;Migdaly platki;615;24.1;10;54.1
327;Sernik;321;5.5;25.5;22.5
328;Ser bialy poltlusty;128;20;3;4
329;Pomidory w puszce;32;1.6;7.3;0.3
330;Ziemniaki gotowane tluczone;81;1.9;15.6;1.5
331;Serek homogenizowany;98;9;4;6
332;Rosol drobiowy;46;5;1;2.6
333;Wino biale wytrawne ;66;0.1;0.6;0
334;Jablko Gala;46;0.5;12;0.5
335;Kukurydza slodka (konserwowa) - Nasza Spizarnia;80;3;11;2
336;Jogurt naturalny Activia - Danone;69;4.5;5.1;3.4
337;Ser Mozzarella w zalewie - Sottile Gusto;251;18;2;19
338;Wafel ryzowy naturalny;387;8.2;81.5;2.8
339;Maslanka 0.5% tluszczu;37;3.3;4.7;0.5
340;Jajo kurze (zoltko);322;15.9;3.6;26.5
341;Soczewica czerwona (surowa);341;25.4;57.5;3
342;Chleb zytni pelnoziarnisty;185;4.6;37.6;1.6
343;Ryz bialy (nieugotowany);350;6.7;78.5;0.7
