id;produkt;kcal;bialko;weglowodany;tluszcze
8954;Piwo Corona;42;0;14;0
8955;Salatka z serem mozzarella - Fit & Easy;131;5.5;6.5;9
8956;Platki owsiane gorskie extra - Mlyn Stoislaw;375;12;62;7.2
8957;Fasola adzuki (ugotowana);133;8.1;20.2;0.4
8958;Serek zakopianski swiatowid - Biedronka;271;25;0;19
8959;Sorbet truskawkowy - So fruity!;121;0.3;29;0.5
8960;Ryz Risotto - Tesco;364;7;82;0
8961;Symbio Ciastka Owsiane;461;7.1;60;21
8962;Kotlety z kalafiora i kaszy jaglanej pieczone bez tluszczu;507;24;76;12
8963;Platki drozdzowe - Bio Planet;342;28;32;6
8964;Sok wieloowocowy;52;0.5;12;0.1
8965;Kakao ForFit (ziarno);588;12;8;53
8966;sledzik na raz w sosie pomidorowo-ziolowym - Lisner;114;7.4;8.6;5.4
8967;Iced Coffee White/Classic - Kruger;395;1;97;1
8968;Aquafaba (weganski majonez bez soi);643;1;2.9;70
8969;Zapiekanka z pieczarkami Rigga - Dr. Oetker;256;8.2;35.6;8.6
8970;lody jogurtowe z miodem i orzechami pini Lidl;218;3.8;30;9.1
8971;Kielbaski Norymberskie;349;14;1;32
8972;Ryz na mleku Riso light - Muller;76;3.1;10.7;2.3
8973;Ser twardy dojrzewajacy owczy hiszpanski Manchego - Tesco;454;24;1.5;39
8974;Zapiekanka z ziemniakami i cukinia;290;9;29;15
8975;Chleb - Vital & Fit;253;8.5;40;5
8976;Wafelki o smaku smietankowym Wadowice - Skawa;515;5.3;65;26
8977;Serek smietankowy Fromaggio z papryka 150 g (w plastrach) - Tesco;236;6;3;22
8978;Serek kremowy (musztarda i miod) Apetina - Arla;197;7.3;7.7;15
8979;Zupa pomidorowa z ryzem i indykiem;395;22.2;44.9;13.6
8980;Sok z selera;13;1;3.6;0
8981;Wafle ryzowe ze slonecznikiem - Britta;394;8;75;6
8982;Ciasto Brownie jaglane;212;10;23;9
8983;Bulion (kostka) wolowa 10g - Winary;6;0.2;0.7;0.3
8984;Mango suszone - Lidl;323;2;72;1
8985;Jogurt Activia Brzoskwinia-Mango - Danone;74;3;12;1.6
8986;Sos salatkowy;275;1.5;13.3;24.6
8987;Mieszanka chinska - Eco;62;2;12;0
8988;Maslanka Stracciatella Mragowska - Mlekpol;76;3.2;12;1.7
8989;Schab z dzika;122;22;4;4
8990;Zupa krem z pora;20;1;3;1
8991;Baton Bakoma Men;406;25;43;17
8992;Ciasto Brownie Wegan;458;7.4;39.9;30.9
8993;Bagietka orkiszowa;269;11;37;8
8994;Schab w plastrach - Mazury Elk;111;19;1.3;3.4
8995;Pasta z ostrych papryczek chilli Harissa - Sandra;41;2.2;1.2;2.2
8996;zeberka;277;15;0;23
8997;Jogurt naturalny - Milbona;75;5;4.7;3.8
8998;lody sorbet porzeczkowy SORBETTO;120;0.8;28;0
8999;Salatka grillowa a la tzatziki - Lisner;248;1.1;13;21.1
9000;Pizza z salami surowa;237;10;26;10
9001;Chleb z kielkami pszenicy;252;8.2;48;1.3
9002;Serek w plastrach Tost - Hochland;321;14;6;27
9003;Jesiotr (pieczony);110;16;0;5
9004;Seitan naturalny;135;21.3;8.2;1.7
9005;Czosnek marynowany;205;2;35;6
9006;Baton bio musli z goja;372;9.1;70.6;7.7
9007;Zupa zacierkowa z zasmazka na masle;55;1;7;2.5
9008;Baton Ba! Banan - Bakalland;432;4.5;72;14
9009;"Kotlet ""mielony"" z kaszy gryczanej 100g. pieczarek 160g. cebuli 60g +i 2 jaj ";168;5.2;6.3;13.6
9010;Dorsz w panierce;216;17;10;13
9011;Lody Intenso Gold Tiramisu - Zielona Budka;111;1;15;5.1
9012;Filety sledziowe w sosie smietanowym - Marinero;310;6;4;30
9013;Zupa grzybowa bez przypraw FROSTA;47;2;8;0
9014;kasza manna do mleka;341;11;72;0.6
9015;Pizza Ristorante Mozzarella - Dr. Oetker;253;9.8;25.6;12.1
9016;Serek homogenizowany naturalny - Tutti;51;7.3;5;0.5
9017;Salatka z ananasem;146;4;10;11
9018;Ciastka Florentynki;561;12;50;34
9019;Burger wegetarianski - sojowy;214;19;10;10
9020;pierogi z grzybami Iglotex;155;4.3;30.4;1.3
9021;Kurczak Tikka Masala;234;16.2;23;8.9
9022;Ser plesniowy Gorgonzola Dop dolce miekki lagodny - Igor;323;19;1;27
9023;Czekolada mieta Krokant - Lidl;518;5;59;29
9024;Lasagne - Lidl;159;9;13.5;7.5
9025;Kasza gryczana - Spar;344;13;63;3.1
9026;sledz w oleju i chili;232;15;0.5;19
9027;Czekolada Marzipan - Ritter Sport;484;6;53;27
9028;Baton fitness delice milk chocolate - Nestle;383;6.2;67.6;7.4
9029;Sok pomaranczowy pasteryzowany - Toma;44;1;10;0
9030;Pierogi ruskie - Kotwica;171;5.4;32.8;1.8
9031;Sok multiwitamina z jablek. marchwi i malin Vitaminka - Hortex;44;0;10.9;0
9032;Tortilla McWrap sniadaniowy Wieprzowy z Jajecznica - McDonald's;192;9.4;16;9.9
9033;Czekolada laciata - Milka;530;6.1;59.5;29.5
9034;Ciasteczka owsiane BIO;494;7.7;59.8;23.8
9035;Zupa ze szparagami aksamitna - Biedronka;46;0.6;6.3;2
9036;ciasto francuskie z lososiem LIDL;255;8.3;24.6;13.3
9037;Pasta z grzybow shiitake i pieczarek;199;5;9;16
9038;Bulka gouda - Lidl;261;10;43;5
9039;Koktajl malinowy Jogobella;77;2.7;12;1.5
9040;Zupa sliwkowa;28;0.4;6.3;0.2
9041;Zupa chlodnik - Pan Chlodnik;56;2.8;5.4;2.4
9042;Baton owsiany - Dealz;456;8.1;64.5;17.2
9043;Lody waniliowo truskawkowo czekoladowe BEST SELLER;173;2.7;26;6.6
9044;Zupa Thai z kuczakiem;68;3;5;4
9045;Slone babeczki (Tesco);494;6.9;55;27
9046;Owsianka malinowa - Carrefour;386;8.4;68.6;7.5
9047;Serek kremowy z pomidorami i bazylia Apetina - Arla;179;7.3;5.2;14
9048;lody sorbetowe z mango i marakui SAN SORBETTINO;98;0.3;23.4;0.2
9049;Rollsy wegetarianskie - Pizza Hut;262;14;19;14
9050;Wolowina po tatarsku;104;17;1;3.3
9051;Buleczki zytnie do piekarnika;243;8.5;42;2.6
9052;Twarog chudy Natur - Zott;84;17.5;3;0
9053;zupa owocowa z zacierkami;46;1;9;0.3
9054;Sok z jablek i owocow Granatu;49;0;12;0
9055;Chleb bananowy;326;4;55;11
9056;Lait ferment ;48;3.3;5.3;1.6
9057;Syrop z pedow sosny;346;0;85;0
9058;Herbatka ziolowa - lipa - Herbapol;64;1;15;0
9059;Mala muffinka czekoladowa - Aldi;90;1;10;5
9060;Omlet bananowy bez maki;124;6.2;11.5;5.9
9061;Kabanosy z lososia;326;27.4;0;24.3
9062;"Tortellini La Collore trojkolorowe z szynka - ugotowany "" Biedronka"" ";185;6;32;3
9063;Mieso mielone wolowe garmazeryjne;315;12.2;0.6;29.5
9064;smietana salatkowa 9%;109;2.9;4.9;9
9065;Musli z orzechami;369;11.2;61.8;6.1
9066;Strucla wisniowa PUTKA;286;5;53;6
9067;Ciastka Biscuits;482;6;64;22
9068;Maslo sojowe - Alpro;343;0;0;38
9069;Kasza gryczana niepalona - BioPlanet;377;13.4;71;3.6
9070;Mleko w proszku pelne 26% tuszczu;499;26;38;26
9071;Budyn malinowy;95;2.9;16.8;1.7
9072;Migdaly Nougat Blanc - Bialy nugat z migdalami - Duc De Coeur;441;4.9;77;13
9073;Jogurt Almighurt o smaku sernikowym - Ehrmann;101;3;15.5;2.8
9074;maca tradycyjna Kupiec;385;12.4;77.6;1.6
9075;Sos bolonski (gotowy sos) - Amino;42;1.4;7.7;0.5
9076;Tajskie curry;79;7.3;4.9;3.7
9077;Wafle Zbozowo-ryzowe - Euro-Wafel;379;11;75;3
9078;Pulpety miesno warzywne - Pamapol;90;4;8;4
9079;konjac glucomannan;7;0.1;0.6;0
9080;krokiety z kapusta i grzybami VIRTU;210;4.2;18;13
9081;Fasola czerwona California Garden;288;21.4;45.9;2.7
9082;Bulion rosolowo-grzybowy - Knorr;5;0.3;0.3;0.3
9083;smietana 36% Delik;345;2.1;3.2;36
9084;Owsianka krolewska - Dobra Kaloria;365;12;61;6.5
9085;Pasta z ciecierzycy z soczewica;170;12;29;3
9086;Ryz brazowy dlugi (nieugotowany) - Lestello;351;8.7;71;2.9
9087;Pasztet z gesia - Drosed;198;10;4.7;15
9088;Chleb zytni razowy - Tosta;258;6;51;1.5
9089;Pastella z tunczykiem i pomidorami - Lisner;343;7;4.6;32.9
9090;Delicje w bialej czekoladzie truskawkowe paryskie - Biedronka;371;4;68;9
9091;Papryka grillowana w oleju slonecznikowym;72;0.6;8.4;3.6
9092;Ciecierzyca w pomidorach;85;3.1;10.9;2.8
9093;Ges (filet);207;23;2.7;13
9094;Herbatniki musli czekoladowe - Emco;446;5.1;59;19
9095;dietetyczne lody (gruszka. banan);85;7.7;10.9;2.9
9096;Farsz miesny;100;13;3;6
9097;Arla Apetina Ser bialy salatkowy w kostkach z czosnkiem i pietruszka 430 g;261;15;0.4;22
9098;Jagermeister;250;0;0;0
9099;Super koktajl - Fit & Easy - zielony;25;2.2;2.3;0
9100;Rosol wolowy z chinskim makaronem ryzowym;94;11.4;10.7;0.6
9101;Ciasteczka AMARETTINI;410;6.4;84;5.2
9102;Ciasteczka cappuccino thins ANNAS;473;5.3;69.6;19.3
9103;Zupa krem z kalafiora - Marwit;29;1.3;4.8;0.2
9104;Owsianka nuts&go na wodzie - Bruggen;374;11.6;57.3;8.8
9105;Lody Rozek o smaku orzechowym - Marletto;140;1.8;17.4;7
9106;Piwo Beck`s ice mint;39;0;0;0
9107;Czekolada gorzka z zurawina - Moser Roth;512;3.8;58.1;27.9
9108;Sos Arrabbiata - Barilla;64;1.4;6.9;3.1
9109;Mieszanka warzywna Romanesco MIX (kalafior. brokul) - Daucy;40;3.9;2.6;0.9
9110;Ser Mozzarella kulki - Tesco;231;19;0.5;17
9111;Jogurt naturalny 2% - Sawuszkin;56;3.3;6.2;2
9112;Wafle ryzowe wieloziarniste cienkie;379;8;72.9;4.4
9113;Wafle ryzowe Jumbo o smaku sera Cheddar - Arroza;421;7.7;72;11
9114;Fix gulasz wegierski;340;11;66;2.5
9115;Kotlet pozarski (mielony);143;17.8;4.9;5.8
9116;Fasola czarna (gotowana);132;8.9;23.7;0.5
9117;Szynka z piersi - Tesco;114;23.7;1.4;1.3
9118;Chleb Fit & Vital;241;7.5;40;4
9119;Lody cafe latte;210;3;32;8.2
9120;smietanka laciata 18%;189;2.7;4;18
9121;isotonic energy SiS;144;0;36;0
9122;Ser Gouda lekka - Serenada;269;29;0.1;17
9123;Kawa zbozowa Caro (proszek-1 lyzeczka 2 g) - Nestle;360;5;85;0
9124;Prazynki solone Beskidzkie - Aksam;517;2;60.7;29.3
9125;Ryba Haddock;116;26.3;0;1.1
9126;Rolmopsy w zalewie octowej - Tesco;108;11;0.5;7
9127;Ser Feta - Kolios;275;16;1;23
9128;Deser waniliowy - Alpro;85;3.2;13.6;1.9
9129;Baton kokosowy Jezyki - Colian;491;5.4;59;25
9130;Sorbet malinowy - Ballino;123;0.5;28.6;0.1
9131;Deser czekoladowy z chia;100;4.9;10.8;4.3
9132;Napoj czerwony grejpfrut (nektar) - Tarczyn;40;0;10;0
9133;Ciastka Hobnob;470;7.3;61.4;20.3
9134;Chlodnik litewski na jogurcie;38;1;4;2
9135;Jogurt naturalny 400g - Netto;58;4;4.8;2.5
9136;Wafle jaglane + quinoa - Sonko;390;12;75.8;3.6
9137;KRK Wrap Grillowany Antrykot Wolowy;118;8;10;5
9138;Koktajl jagodowy;68;2.4;13;1
9139;Pasztet sojowy wegierski - Polsoja;198;8.2;4.2;16
9140;Ciasto kruche podstawowe /samo ciasto/;430;5;50;24
9141;Platki zytnie Vitte - Crownfield;363;11;69;2.3
9142;Sos z czosnkiem i miodem - Tao Tao;201;1.3;48.8;0.1
9143;Czekoladki z maslem orzechowym Peanut Butter Cup - Reese's;544;10.8;51.8;31
9144;Wrap Tunczyk Avokado;466;27;50;18
9145;Serek wiejski 3% lekki - SM Mlekovita;81;11;2.5;3
9146;bialko serwatkowe kokosowe WPC 80 KFD;412;79;9;7
9147;Maslo orzechowe peanut butter reduced fat - Skippy;520;25.9;35.7;34
9148;Serek wiejski landfrisch kase natur schardinger;84;13;3;2.2
9149;Kielbasa biala z szynki 500g - Madej Wrobel;264;16;1;22
9150;Boeuf Strogonow;98;5;9;4.6
9151;Makaron Sorenti lazanki (ugotowany);156;6.6;31;0.7
9152;Jogurt Almighurt o smaku waniliowym z wsadem truskakowym - Ehrmann;102;2.8;16.5;2.8
9153;Serek Mascarpone - Natura;355;5.8;3;36
9154;Cukierek mini;394;0;96;0
9155;Kasza perlowa;341;9;69;1
9156;Jogurt Activia mala - Danone;99;3.4;12.9;3.4
9157;tost dj;246;13;29;8
9158;Sok swiezy marchewkowy - Witmar;38;0;9;0
9159;Mleko naturalne 2% - Bieluch;48;3;4.5;2
9160;Bialko karmel wanilia;378;63;21;4.7
9161;Mieso mielone (surowe);308;10.3;0.2;30
9162;Kasza jaglana - Janex;350;11;70;2
9163;Makaron razowy Fusilli;365;13;74;2
9164;Serek wiejski laktosfri 4%fett - Keso;95;13;1.8;4
9165;Wafle ryzowe z jogurtem;495;5.1;67.2;22.7
9166;Jogurt z truskawkami - Pilos;141;2.3;16.3;7.3
9167;Sok jablkowo-aroniowy - Viva-Natura;48;0;11;0
9168;Arbonne Essentials meal replacement shake vanilla flavour;383;32;43;8
9169;Lody pistacjowe Ballino;239;3.8;25;13.7
9170;Jablka pod kruszonka;98;1.4;22;0.3
9171;Owsianka Cos na zab naturalna - Kupiec;394;11.9;70.3;6.2
9172;Drazetki Lentilki - Smarties;464;5;68;18.9
9173;Napoj ryzowy - Bio Drink;60;1;12;1
9174;Pierogi z jablkiem;138;3.2;29.6;1
9175;Szpinak mrozony Americana;27;3;3;0.4
9176;Makaron spaghetti pelne ziarno (nieugotowany) - Primo Gusto;336;12;64;2
9177;Maltesers;500;8.3;61.5;24.3
9178;Ser plesniowy camembert naturalny - Paturages;288;18;0;24
9179;Sos chinski - Pudliszki;62;0.9;12;1.1
9180;Serek homogenizowany truskawkowy - Tutti;121;5.4;14;5
9181;Piwo Risingsbo;30;0;3.5;0
9182;Makaron razowy 100% pszenicy - Durum (nieugotowany);352;13;67;1.9
9183;Sos Arrabiatta do makaronu - lowicz;43;1.4;5.9;1.1
9184;Pasta z oliwkami - Tesco;416;1;8.7;41.7
9185;Deser Serniczek na zimno - Pilos;169;5.2;19;8
9186;Herbatniki Milka Choco Moo;495;6.9;68;21
9187;Ser topiony z lososiem - Sertop;220;12;7;16
9188;Ser Red Leicester - Tesco;411;24.9;0.1;34.5
9189;Sok grejpfrutowy - Marwit;42;1;9;0
9190;Ser owczy swiezy z Sycylii - Pecorino;399;25.5;0;33
9191;Kanapka McTost Bekon i Ser - McDonald's;328;16;32;15
9192;Ser Camembert o smaku czosnku z ziolami - Lidl;262;12;4;22
9193;Karp po zydowsku;90;14;2;3
9194;Zupa pomidorowa z cieciorka i makaronem orzo;79;3.5;8.6;2.5
9195;smietanka lACIATA do kawy 12% Mlekpol;134;2.7;3.9;12
9196;Kluski z makiem i bakaliami;294;7.9;38.3;13.4
9197;Maka orkiszowa pelnoziarnista - Dinkelmehl Vollkorn;330;12;61;2
9198;Salatka lososiowa - Lisner;253;5.2;9.4;21.4
9199;lowicz Sos pieczarkowy z podgrzybkiem 500 g;56;1.1;9.2;1.4
9200;Salatka z buraczkow i papryki;43;1.2;8.4;0
9201;NesVita Owsianka jablkowa z cynamonem 46 g;97;3.2;16.1;1.8
9202;Chleb tostowy - Vollkorn;240;8.6;41;3.2
9203;Mieso wolowe mielone ( zrazowka );148;21;0;7
9204;Martini ze Spritem;75;0;11;0
9205;krakuski zbozowe z platkami owsianymi;460;9.1;61;19
9206;Ciastka markizy z orzechami laskowymi z nadzieniem o smaku waniliowym - Mariso;499;5.4;59;27
9207;Jogurt typu greckiego z owsianka z suszonymi sliwkami - Tolonis;96;5.7;14;1.6
9208;Makaron swiezy Pappardelle - Lidl;286;10.5;53;3
9209;Makrela swieza (bez wnetrznosci);181;18.7;0;11.9
9210;"Paroweczki z miesem drobiowym ""Bobaski"" - Animex ";268;12.1;8.9;20.4
9211;Serdelki z szynki;283;13;1.5;25
9212;Batoniki Milky Way Crispy Rolls;512;7.4;63.8;24.9
9213;Parowki wedzone - Sokolow;202;12;6;14
9214;Sznycel wieprzowy z szynki;102;16;0.5;4.1
9215;Tort Marlenka;429;6.7;50.3;22.5
9216;Ryz basmati z dzikim (nieugotowany) - Sonko;371;8.9;80.9;1
9217;Czekolada kokosowa - Wawel;571;6;49;38
9218;Orzeszki arachidowe w czekoladzie - Lewiatan;588;16;37;42
9219;Mleczna kanapka Trancetto cacao - Balconi;391;5.2;51.9;17.7
9220;Pierniki krolewskie o smaku sliwkowym w czekoladzie - Krakuski;385;5.6;65;11
9221;Czekolada 78% kakao - Das Exquisite;527;10.5;24.4;40.2
9222;Sok porzeczka - Tarczyn;43;0;10;0
9223;Salatka z brokulami i feta;131;6.1;6.8;9.6
9224;Salatka hawajska - Lisner;179;7.1;12.7;10.7
9225;Chipsy warzywne vegee;418;6;75;12
9226;Ciastka XL Cookies - Milka;505;1.9;60;27
9227;Kisiel poziomkowy 139 g. z cukrem - Dr. Oetker;63;0;15.5;0
9228;Chleb tostowy pelnoziarnisty Rasker P?gen;250;10;41;4.5
9229;Tost z maka pelnoziarnista;262;7.2;54;3.1
9230;Jajka wielkanocne - Baron;535;3.9;59;31
9231;Kasza gryczana eko;335;13.3;61.4;3.4
9232;BIO Ziarno Kakaowca - Ekogram Zielonki;342;19.8;10.8;24.5
9233;Mieszanka warzywna Steam ? la French - Bonduelle;44;2.6;5.6;0.3
9234;Olej kokosowy - Grovy food;767;0;0;92.5
9235;Serek Quark - Meadow Churn;70;13;4.3;0.3
9236;Lody kaktus dluuuga polewka;179;0.1;23.9;8.6
9237;Chalwa czekoladowa;542;14.2;44.6;32.8
9238;Salami z szynki z pieprzem - Zimbo;156;30;0.5;4
9239;Goodvalley Parowki 100% miesa 210 g;315;15;0;28
9240;Mus Kubus;69;1;15;0
9241;Morszczuk argentynski - Marine Zlota Rybka;76;17;0;0.9
9242;Cantuccini - Lidl;450;10;66;16
9243;Serek twarogowy do smarowania.lekki o obnizonej zawartosci tluszczu;102;9.5;3.8;5
9244;granulki fibroki;386;13.5;57.4;8.5
9245;Mieszanka bakaliowa z orzechow Edel Nuss Mix - Rossmann;627;22;12;53
9246;Deser wloski Profiteroles - Sottile Gusto;295;4.5;26;18
9247;Lody SANDWICH FRESH CREAM Ballino;203;3.4;27.7;8.7
9248;ciastko owsiane mceneedy z zurawina;450;6;63.6;18.4
9249;Makaron kukurydziany Pastani;353;13;68;1.9
9250;Wafelki kukurydziane naturalne - Kupiec;398;8.8;79.9;3.8
9251;Sos bolognese z indykiem moj;55;4.7;1.4;3.2
9252;Baton Cereal Bar - Apricot;381;6;74;6
9253;Jogurt waniliowy Smakija - Zott;134;3.6;15.9;6
9254;Platki pszenne z rodzynkami i jablkami - Vitte;359;9.5;69.6;2.2
9255;Knorr Sos salatkowy koperkowo-ziolowy 9 g;434;0.4;4.6;46
9256;Ser zolty Leerdammer Light;271;29.5;0.1;17
9257;KFD Dietetyczna Galaretka;8;1.9;0;0
9258;Makaron spaghetti razowy (nieugotowany);346;11.5;67.5;1.8
9259;Chrupki z maka z komosy ryzowej ostra papryka - Vitanella;506;14;58;23
9260;Bulka brown do pieczenia - Aldi;291;10;52;3.3
9261;Platki owsiane Cheerios Oats z zurawina;382;9.8;70.9;4.8
9262;Kanapka Crispy Chicken - Burger King;492;18;39;29
9263;Lody jogurtowe - Grycan;203;3;23;11
9264;lody smietankowe z wisniami Grand;183;3.2;24;8.2
9265;Pasta Tahini Prince;680;24;17;60
9266;Wafle jaglane z chia;396;12.4;70;6.1
9267;Zupa z kurczakiem i makaronem;34;2.2;4.8;0.5
9268;Burger wolowy Beefmaster 400 g - Biedronka;190;21;1;13
9269;Makaron zielony (nieugotowany) - Bartolini;359;13;69;2.4
9270;Pianka jogurtowa z galaretka;130;4.7;13;7.5
9271;salatka z kurczakiem i mango aldi;108;13;7;2
9272;Ser topiony z szynka - swiatowid;299;15;3.3;25
9273;Parowki ze schabu - Morliny;273;15;1.4;23
9274;Orzechy ziemne - E.Leclerc;646;24;21;50
9275;Twarozek z ananasem;153;8;19;7.5
9276;Bulion wolowy z kostki - Knorr;5;0.2;0.3;0.5
9277;Tortelloni Al Prosciutto;308;11;45.2;8.8
9278;Filety z makreli w sosie pomidorowym - Nautica;265;17.5;4;21.6
9279;Chrupki czosnkowo-ziolowe;311;10;61;2.4
9280;Zupa krem ze szparagami - Vital Fresh;46;1;7;2
9281;Sok jablko-wisnia - Hortex;36;0;9;0
9282;Tunczyk z komosa ryzowa czarna i sezamem (konserwa) - Graal;227;13;14;13
9283;Serek kanapkowy smietankowy - Creamfields;112;7;4;7
9284;Chleb chrupki z orkiszem i dynia - Sonko;372;10.4;75.2;2.1
9285;Czekolada gorzka 70%;523;9.7;34;39
9286;Kisiel (proszek);110;0.3;27;0
9287;Whooper Burger King 297g;208;9;17;11
9288;Chleb bezglutenowy ze slonecznikiem;239;3.3;43;5.8
9289;Ciastko 5 zboz Rico Ranki - Lidl;442;8;71;13
9290;Serek twarogowy Fromello - Pilos;219;6.4;4.4;19.5
9291;Maslo orzechowe Natural mix orzechy bez soli;599;18;28;45
9292;Maslanka - Milsa;41;3.5;4.5;1
9293;Krolik;136;20;0;5.5
9294;Zupa krem z groszku;100;7;19;0
9295;Otreby gryczane - Melvit;339;36;20;9.9
9296;Pierogi Pielmieni;148;12;18;3
9297;Baton Ba! jablko i rodzynki - Bakalland;439;5.1;68.2;15.5
9298;Baton Corny truskawkowo - jogurtowy;442;6.7;63.3;17
9299;Filety sledziowe greckie z pomidorami i marchewka;169;8.1;10.3;10.6
9300;Kotlet z serem i papryka;99;14;2;4
9301;Nutella Dukana;216;21;28.4;2.1
9302;Baton Twix White;498;5.1;64.2;24.6
9303;Jogurt Jogobella light owoce lesne - Zott;60;3.9;8.6;1.1
9304;Ciasteczka z kawalkami czekolady i orzechami laskowymi;505;6;60;27
9305;Lody smietankowa Trio Tropicana - Algida;130;1.5;26;1.5
9306;Lody Happy Twist cytrynowe;87;0.7;17.5;2.8
9307;Lody Happy Twist malinowe;84;0.6;24.2;2.2
9308;Hummus z oliwkami;332;5.4;9.7;29
9309;Platki sniadaniowe jogurtowe z zurawina - Fitella;385;10.9;65.4;7
9310;Platki pszenno-ryzowe z owocami egzotycznymi (Just Fit);354;7;75.8;2.5
9311;Chipsy Crunchips X-cut ossstra papryka - Lorenz;533;6.6;48;35
9312;Chipsy Burger - Star Chips;520;6;54;30
9313;Baton musli o smaku orzechowym;338;7.5;60.3;8.6
9314;Wafelek Grzeski toffi;528;7.8;59;29
9315;Wafelek Estella toffi XXL - Biedronka;533;7.4;56.8;30.7
9316;Ziemniaki Bistro Mini;84;2.3;17.1;0.1
9317;Sok Vitaminka - Hortex;48;0;11.7;0
9318;Sok z jablek i jezyn naturalnie metny - Ogrody Natury;49;0.1;11.5;0.1
9319;Ciastka francuskie z ANANASEM;214;3;24;12
9320;Migdaly mix - Carrefour;584;12.6;47.6;36.6
9321;Cukierki Torciki truflowo-pistacjowe - Goplana;447;4.9;67;16
9322;Koktajl Kiciucha (jablko. banan. mleko 2%. jogurt 2%. platki gryczane. syrop klonowy);105;4;20;2
9323;parowki z indyka ulubione indykpol;261;11;1;23
9324;Batoniki owsiane z orzechami;533;6.2;59;30
9325;Salatka pomidor ogorek 2%;33;2;4;1
9326;Baranina (mieso bez kosci);279;17.2;0;22.8
9327;Karczochy (surowe);47;3.3;10.5;0.2
9328;Baranina (pieczona lopatka);299;28.6;0.1;19.6
9329;Salami z indyka (gotowane);172;19.3;1.6;9.2
9330;Krab;87;18.1;0;1.1
9331;sledz w majonezie;142;8.7;4.2;9.9
9332;Whey bialko;365;80;4;2.4
9333;Deser - Biedronka;123;3;17;5
9334;Jogurt pitny monte;83;4;11.7;2.2
9335;Zupa kapusciana z filetem;50;3;15;1.5
9336;Lody straciatella - Alizee;230;2.8;33.1;9.3
9337;Jogurt musli - Biedronka;93;2.5;15;2.5
9338;Bialko serwatkowe izolat;352;86;1;0.5
9339;pomidory suszone z pestkami dyni w oleju z ziolami;527;4;7;53
9340;Zupa krem z selera na kostce rosolowej;24;1;3;2
9341;Mieszanka bakaliowa orzechow i bakalii 50 g;250;10;20;15
9342;Czekolada kawowa - Choceur;559;8.2;50.9;35.2
9343;Pomidory suszone La Rossa;155;6;8;11
9344;Paella (potrawa hiszpanska);130;6.1;15;4.9
9345;Ratatuj;42;2;7;2
9346;Baton dietetyczny czekoladowy;483;7.9;62.2;21.5
9347;Sos do szpinaku czosnkowo-serowy op.20g - Knorr;480;16;32;31
9348;Baranina (mieso z koscia);169;20;0;9.2
9349;Watroba wolowa;126;19.5;4.8;3.1
9350;Lody z bita smietana z polewa truskawkowa;175;4.1;29.2;5.1
9351;Pedy bambusa gotowane;16;1.5;1.9;0.2
9352;Fasola Edamame;122;10.9;9.9;5.2
9353;Tluszcz z indyka (smalec);900;0;0;99.8
9354;Kostka sojowa;356;50;30;2
9355;Platki sojowe;395;38;11.3;20.8
9356;Ser topiony kremowy z pieczarkami;296;7;4;28
9357;Kotlet z kaszy jaglanej;121;4.5;21;1.8
9358;Herbata mate de guarana;2;0;0;0
9359;Krakersy orkiszowo sezamowe - Bio;466;17.5;42.4;23.2
9360;Piwo Karmi malinowe;50;0.2;11.4;0
9361;Kefir naturalny Hej! - OSM Radomsko;56;3.9;5.7;1.5
9362;Czekolada gorzka - Piotr i Pawel;525;8.5;41;34
9363;Bialko;365;77;5.7;3.8
9364;Orzechy na slodko;573;22;30.5;39
9365;Racuchy otrebowe;169;11;11;9
9366;"Ciastko ""Cukiernia Roza"" maslane z jablkiem - Biedronka ";463;6;74;15
9367;Ziemniaki puree o smaku bekonowym z grzankami (danie w 5 minut) - Winiary;226;4.7;32;8.3
9368;Ryba w sosie brokulowym;137;12;4.2;8
9369;Jogurt owocowy 0% - Sanok;39;3.5;6;0.1
9370;Chleb kurpiowski;213;5.9;51.2;1.7
9371;Baton musli pomaranczowy;402;3.5;75.8;9.2
9372;Herbatka - Herbalife;6;0.2;1.3;0
9373;Czekolada 70% z pistacjami - Lindt;571;8.1;39;41
9374;Chleb siemie lniane - Meste;270;7.9;47.5;5
9375;Parowki koktajlowe - Sokolow;232;12.1;2.6;19.2
9376;Sos czosnkowy - Winiary;615;1.2;5.6;65.2
9377;Kotlet z kaszy gryczanej;170;5.2;18.1;8.7
9378;Tunczyk w sosie pomidorowym i cebuli;101;16.3;3.2;2.2
9379;Puree ziemniaczane z marchewka i mlekiem;71;1;14;1
9380;Serek kanapkowy twarogowy 5% tluszczu - Linessa;97;9.5;3.3;5
9381;Kabanos z lososia wedzony;326;27;0;24
9382;Filety z makreli w sosie pomidorowym - Meg Ryba;91;12;5.8;2.2
9383;Ciastka kruche - Boniti;535;5.4;60.7;29.8
9384;Fasola Jas - Lidl;318;21.4;61.6;1.6
9385;Dorsz czarny - Abramczyk;74;17;0;0.7
9386;Pierogi z miesem Pyszne Danie - Biedronka;197;6.2;29.4;5.3
9387;Filet z pstraga wedzony - Billa;117;19.4;0.5;4.4
9388;Knorr - Spaghetti Bolognese Naturalnie Smaczne przyprawa;302;8.9;53;4.4
9389;Mleczna kanapka;422;8;34;27.9
9390;Kotlet cordon bleu szynka i ser - Biedronka;209;10;17.8;10.9
